de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
11,0.0,0.0,0.06933752452815364,0.0,0.0,0.0,0.0,0.08838834764831843,0.0,0.0,0.0,0.49099025303098287,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.04902903378454601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.04902903378454601,0.0,0.0,0.0,0.0
12,0.0,0.0,0.07412493166611013,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.2916059217599022,0.0,0.0,0.0,0.10101525445522107,0.0,0.0,0.0,0.0,0.0,0.0,0.1336306209562122,0.0,0.052414241836095915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1336306209562122,0.0,0.052414241836095915,0.0,0.0,0.0,0.0
13,0.0,0.0,0.08362420100070908,0.0,0.0,0.0,0.0,0.10660035817780521,0.0,0.0,0.0,0.0657951694959769,0.0,0.21938172723813917,0.21320071635561041,0.2279211529192759,0.0,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.0,0.05913123959890826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.0,0.05913123959890826,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17149858514250882,0.4999999999999999,0.26726124191242434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.12403473458920847,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.0,0.09759000729485333,0.0,0.10846522890932808,0.31622776601683794,0.33806170189140655,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.08770580193070293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.08770580193070293,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.09805806756909201,0.0753778361444409,0.0,0.0,0.0,0.12499999999999997,0.12499999999999997,0.0,0.06933752452815364,0.07715167498104596,0.0,0.08574929257125441,0.0,0.0,0.0,0.5330017908890261,0.0,0.0,0.0,0.10660035817780521,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07372097807744857,0.15811388300841897,0.13363062095621217,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.07412493166611013,0.05698028822981897,0.0,0.0,0.07142857142857142,0.1889822365046136,0.0944911182523068,0.0,0.052414241836095915,0.058321184351980436,0.0,0.0,0.0,0.0,0.0,0.24174688920761409,0.0890870806374748,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0,0.10101525445522107,0.11145564251507058,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0
