de.it,1,2,3,4,5,6,7,8
28,0.0,0.0,0.0,0.0,0.0,0.06741998624632421,0.0,0.12909944487358055
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.12909944487358055,0.15811388300841897,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.1091089451179962,0.13363062095621217,0.0,0.11396057645963795,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.12309149097933275,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.12309149097933275,0.0,0.0
35,0.0,0.0,0.0,0.09128709291752767,0.0,0.0778498944161523,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.2279211529192759,0.3779644730092272,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.18257418583505536,0.18257418583505536,0.11180339887498948,0.0,0.09534625892455924,0.0,0.3651483716701107
40,0.0,0.0,0.0,0.10660035817780521,0.0,0.09090909090909091,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.07312724241271307,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0
43,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.17677669529663687,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.09901475429766744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.25000000000000006,0.20412414523193148,0.0,0.0,0.0,0.0
63,0.0,0.0,0.07715167498104597,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.07216878364870323,0.08838834764831843,0.0,0.0,0.0,0.0
65,0.0,0.0,0.11785113019775793,0.14433756729740646,0.0,0.0,0.0,0.0
66,0.0,0.0,0.1091089451179962,0.13363062095621217,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.13483997249264842,0.22360679774997896,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.09622504486493763,0.1178511301977579,0.0,0.0,0.0,0.0
75,0.0,0.0,0.10206207261596574,0.12499999999999997,0.0,0.0,0.0,0.0
76,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.1178511301977579,0.0,0.0,0.0,0.0
78,0.1091089451179962,0.0,0.07715167498104597,0.0944911182523068,0.0,0.0,0.0,0.0
