fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,0.0,0.11009637651263604,0.17739371879672478,0.11826247919781652,0.0,0.0,0.0,0.0,0.2261335084333227,0.26111648393354675,0.0,0.8528028654224417,0.08528028654224416,0.11009637651263604,0.26382242650554316,0.0,0.11009637651263604,0.040291148201269014,0.0,0.15512630699850574,0.09534625892455921
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778498944161523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5477225575051661,0.0,0.0,0.22360679774997896,0.0,0.0
13,0.1860521018838127,0.23094010767585027,0.1860521018838127,0.24806946917841693,0.2051956704170308,0.06741998624632421,0.05773502691896257,0.1556997888323046,0.0,0.0,0.0,0.13416407864998736,0.7155417527999327,0.05773502691896257,0.11858541225631422,0.0,0.05773502691896257,0.04225771273642582,0.0,0.21693045781865616,0.09999999999999998
14,0.19611613513818407,0.18257418583505539,0.06537204504606135,0.1307440900921227,0.2703690352179376,0.21320071635561047,0.12171612389003691,0.0,0.0,0.14433756729740646,0.0,0.32998316455372223,0.23570226039551587,0.48686449556014766,0.3333333333333333,0.0,0.18257418583505539,0.1781741612749496,0.0,0.2286647801900118,0.10540925533894598
15,0.1283881477532739,0.11952286093343935,0.042796049251091296,0.08559209850218259,0.17699808135119716,0.13957263155977062,0.07968190728895957,0.0,0.054554472558998084,0.22047927592204922,0.0,0.27774602993176545,0.12344267996967354,0.1992047682223989,0.7092081432669751,0.0,0.15936381457791915,0.11664236870396086,0.0,0.14969623771302396,0.06900655593423542
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.7302967433402214,0.0,0.0,0.0,0.0,0.0
17,0.22237479499833038,0.20701966780270628,0.22237479499833038,0.14824986333222026,0.18394180184548972,0.16116459280507606,0.06900655593423542,0.046524210519923545,0.1889822365046136,0.0545544725589981,0.0,0.16035674514745463,0.05345224838248487,0.13801311186847084,0.236227795630767,0.0,0.7590721152765897,0.15152288168283162,0.0,0.12964074471043288,0.0
18,0.16317848796612636,0.10127393670836667,0.05439282932204212,0.05439282932204212,0.179968508266339,0.17739371879672478,0.10127393670836667,0.0682788741998919,0.0,0.04003203845127179,0.0,0.11766968108291041,0.11766968108291041,0.15191090506255,0.1386750490563073,0.0,0.20254787341673333,0.4447495899966607,0.0,0.09513029883089882,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
20,0.2773500981126146,0.3227486121839514,0.2773500981126146,0.20801257358446093,0.1720618004029213,0.15075567228888181,0.06454972243679027,0.0,0.08838834764831843,0.051031036307982884,0.0,0.25,0.2,0.12909944487358055,0.13258252147247765,0.0,0.12909944487358055,0.0944911182523068,0.0,0.7882407813680822,0.22360679774997896
