it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
11,0.043478260869565216,0.0,0.058823529411764705,0.03076923076923077,0.058823529411764705,0.0,0.05555555555555555,0.047619047619047616,0.08333333333333333,0.0,0.0,0.045454545454545456,0.08,0.07142857142857142,0.041666666666666664,0.0,0.5714285714285714,0.043478260869565216,0.05555555555555555,0.029411764705882353,0.0,0.0,0.07407407407407407,0.0625,0.045454545454545456,0.047619047619047616,0.0,0.05263157894736842,0.05,0.037037037037037035,0.0,0.047619047619047616,0.0,0.05555555555555555,0.058823529411764705,0.0392156862745098,0.021739130434782608,0.03333333333333333,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.07692307692307693,0.0,0.05714285714285714,0.0,0.0,0.05555555555555555,0.06060606060606061,0.0,0.02702702702702703,0.022222222222222223,0.125,0.17647058823529413,0.047619047619047616,0.0,0.0
12,0.10526315789473684,0.0,0.15384615384615385,0.03225806451612903,0.07142857142857142,0.07142857142857142,0.0,0.0,0.09523809523809523,0.0,0.05,0.0,0.09090909090909091,0.0,0.047619047619047616,0.043478260869565216,0.05555555555555555,0.16666666666666666,0.14285714285714285,0.03225806451612903,0.047619047619047616,0.0,0.08333333333333333,0.0,0.05263157894736842,0.05555555555555555,0.0625,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.06666666666666667,0.15384615384615385,0.02040816326530612,0.023255813953488372,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.04,0.1,0.0,0.0967741935483871,0.0,0.0,0.0,0.03225806451612903,0.09523809523809523,0.0,0.0,0.03125,0.13333333333333333,0.11764705882352941,0.0,0.0
13,0.027777777777777776,0.0,0.03333333333333333,0.02564102564102564,0.03333333333333333,0.0,0.03225806451612903,0.029411764705882353,0.02631578947368421,0.0,0.027777777777777776,0.02857142857142857,0.05263157894736842,0.037037037037037035,0.05555555555555555,0.05263157894736842,0.0,0.027777777777777776,0.03225806451612903,0.3333333333333333,0.15151515151515152,0.0,0.10526315789473684,0.034482758620689655,0.0,0.029411764705882353,0.03125,0.03125,0.0625,0.025,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.015384615384615385,0.034482758620689655,0.07317073170731707,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.024390243902439025,0.0,0.0,0.041666666666666664,0.0,0.0,0.03225806451612903,0.02127659574468085,0.02631578947368421,0.0625,0.05357142857142857,0.020833333333333332,0.06451612903225806,0.029411764705882353,0.0,0.0
14,0.11764705882352941,0.0,0.06666666666666667,0.038461538461538464,0.03225806451612903,0.0,0.03125,0.0,0.05263157894736842,0.0,0.11764705882352941,0.05714285714285714,0.05128205128205128,0.0,0.02631578947368421,0.07894736842105263,0.02857142857142857,0.08571428571428572,0.06451612903225806,0.06521739130434782,0.05405405405405406,0.0,0.04878048780487805,0.03333333333333333,0.05714285714285714,0.0,0.030303030303030304,0.13333333333333333,0.029411764705882353,0.05,0.01694915254237288,0.02857142857142857,0.0,0.17857142857142858,0.06666666666666667,0.0,0.03389830508474576,0.022727272727272728,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.034482758620689655,0.05128205128205128,0.05128205128205128,0.04878048780487805,0.0,0.03571428571428571,0.0625,0.0,0.03225806451612903,0.0,0.020833333333333332,0.02564102564102564,0.0196078431372549,0.0,0.0,0.030303030303030304,0.058823529411764705,0.0,0.0
15,0.038461538461538464,0.0,0.05,0.014492753623188406,0.23529411764705882,0.0,0.0,0.041666666666666664,0.03571428571428571,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.07142857142857142,0.041666666666666664,0.038461538461538464,0.047619047619047616,0.05555555555555555,0.07692307692307693,0.0,0.10344827586206896,0.05263157894736842,0.08333333333333333,0.0,0.045454545454545456,0.0,0.09090909090909091,0.03333333333333333,0.020833333333333332,0.041666666666666664,0.0,0.0,0.05,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.030303030303030304,0.043478260869565216,0.0,0.0,0.034482758620689655,0.06666666666666667,0.0625,0.0,0.02564102564102564,0.0,0.05,0.0,0.08571428571428572,0.03571428571428571,0.025,0.0,0.02631578947368421,0.045454545454545456,0.041666666666666664,0.0,0.0
16,0.041666666666666664,0.0,0.05555555555555555,0.014925373134328358,0.05555555555555555,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.045454545454545456,0.041666666666666664,0.05263157894736842,0.02857142857142857,0.04,0.0,0.15384615384615385,0.0,0.043478260869565216,0.0,0.05,0.0,0.0,0.03571428571428571,0.0,0.045454545454545456,0.0,0.0,0.05555555555555555,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.047619047619047616,0.0,0.0,0.037037037037037035,0.034482758620689655,0.07142857142857142,0.0,0.02702702702702703,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.027777777777777776,0.05,0.045454545454545456,0.0,0.0
17,0.125,0.0,0.10526315789473684,0.029411764705882353,0.10526315789473684,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.041666666666666664,0.038461538461538464,0.047619047619047616,0.02702702702702703,0.037037037037037035,0.0,0.10344827586206896,0.05263157894736842,0.08333333333333333,0.041666666666666664,0.0,0.045454545454545456,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.0,0.05,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.06666666666666667,0.0625,0.0,0.02564102564102564,0.0,0.05,0.0,0.05555555555555555,0.03571428571428571,0.025,0.0,0.05405405405405406,0.045454545454545456,0.041666666666666664,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
19,0.047619047619047616,0.0,0.06666666666666667,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.07142857142857142,0.05,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0
20,0.07692307692307693,0.0,0.1,0.04411764705882353,0.047619047619047616,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.038461538461538464,0.03333333333333333,0.0,0.03571428571428571,0.0,0.04,0.037037037037037035,0.045454545454545456,0.0,0.0,0.0,0.06451612903225806,0.05,0.08,0.08333333333333333,0.0,0.09090909090909091,0.0,0.0,0.0,0.04,0.0,0.0,0.047619047619047616,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.058823529411764705,0.0,0.025,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.08108108108108109,0.043478260869565216,0.04,0.0,0.0
