it.en,1,2,3,4,5,6,7,8,9,10,11,12
42,0.08695652173913043,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.05714285714285714,0.06818181818181818,0.037037037037037035,0.0,0.02857142857142857,0.034482758620689655,0.05660377358490566,0.0,0.022222222222222223,0.0,0.023809523809523808,0.02631578947368421
44,0.05714285714285714,0.044444444444444446,0.0,0.0,0.058823529411764705,0.034482758620689655,0.037037037037037035,0.07547169811320754,0.045454545454545456,0.02564102564102564,0.023809523809523808,0.02631578947368421
45,0.09090909090909091,0.06976744186046512,0.0,0.04,0.06060606060606061,0.07407407407407407,0.0784313725490196,0.05660377358490566,0.125,0.02631578947368421,0.024390243902439025,0.05555555555555555
46,0.0,0.03125,0.0,0.0,0.047619047619047616,0.0,0.024390243902439025,0.0,0.03225806451612903,0.0,0.03571428571428571,0.041666666666666664
47,0.03571428571428571,0.05405405405405406,0.0,0.0,0.037037037037037035,0.0,0.043478260869565216,0.0,0.08571428571428572,0.0,0.029411764705882353,0.0
48,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.034482758620689655,0.04
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
50,0.04878048780487805,0.06,0.0,0.0,0.024390243902439025,0.0,0.01639344262295082,0.0,0.0,0.0,0.06521739130434782,0.046511627906976744
51,0.0,0.029850746268656716,0.0,0.020833333333333332,0.017543859649122806,0.0,0.012987012987012988,0.0,0.014925373134328358,0.0,0.031746031746031744,0.016666666666666666
52,0.03571428571428571,0.02631578947368421,0.0,0.0,0.0,0.0,0.02127659574468085,0.020833333333333332,0.0,0.0,0.06060606060606061,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
54,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.05,0.03225806451612903,0.0,0.021739130434782608,0.041666666666666664,0.022222222222222223
55,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.047619047619047616,0.02564102564102564
56,0.037037037037037035,0.02702702702702703,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.030303030303030304,0.0
57,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.030303030303030304,0.034482758620689655
58,0.04,0.02857142857142857,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
59,0.014925373134328358,0.012987012987012988,0.0,0.0,0.0,0.0,0.03571428571428571,0.023255813953488372,0.0,0.014285714285714285,0.0,0.014492753623188406
60,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.02857142857142857,0.0,0.05555555555555555,0.0,0.0
61,0.018518518518518517,0.015625,0.0,0.0,0.0,0.0,0.08823529411764706,0.10294117647058823,0.0,0.017543859649122806,0.0,0.0
