it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
34,0.0,0.07071067811865474,0.07669649888473704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.04116934847963091,0.06085806194501844,0.0,0.0,0.0,0.0,0.0,0.0
35,0.051434449987363975,0.05270462766947299,0.0,0.0,0.0,0.0,0.0,0.0,0.10814761408717503,0.13608276348795434,0.09622504486493764,0.0,0.15342910298305393,0.0,0.42600643361512924,0.07106690545187015,0.0,0.05270462766947299,0.0,0.0
36,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.29814239699997197,0.0,0.1025978352085154,0.0,0.0,0.16903085094570328,0.0,0.0,0.11547005383792514,0.0,0.0,0.0,0.0,0.0
37,0.2253744679276044,0.0,0.25048971643405976,0.17213259316477406,0.223606797749979,0.0,0.0,0.12171612389003691,0.0,0.0,0.10540925533894598,0.3903600291794132,0.10084389681792215,0.1987615979999813,0.06666666666666665,0.0778498944161523,0.0,0.11547005383792514,0.1951800145897066,0.0
38,0.0,0.0,0.0,0.09245003270420486,0.0,0.0,0.09245003270420486,0.0,0.12725695259515554,0.08006407690254358,0.11322770341445959,0.0,0.14443162893482378,0.0,0.0,0.08362420100070908,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05407380704358752,0.0,0.06622661785325219,0.0,0.0,0.0,0.0,0.0,0.06917144638660747,0.0,0.0,0.08671099695241198,0.0
40,0.08247860988423225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07273929674533079,0.0975900072948533,0.0,0.0,0.08451542547285164,0.14285714285714285,0.0
41,0.0,0.03892494720807615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0670025210172808,0.13483997249264842,0.0524863881081478,0.0,0.03892494720807615,0.0657951694959769,0.0
42,0.0,0.08451542547285164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07273929674533079,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
43,0.08247860988423225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07273929674533079,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
