de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
45,0.04564354645876383,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.30618621784789724,0.18257418583505536,0.08703882797784893,0.12909944487358055,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.11952286093343936,0.0,0.16903085094570328,0.0,0.0,0.0,0.0,0.0
47,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596577,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364357804719848,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053300179088902604,0.09534625892455924,0.09090909090909091,0.0,0.0,0.10192943828752511,0.10830607221477646,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.12909944487358058,0.12309149097933275,0.0,0.0,0.13801311186847084,0.1466471150213533,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.5933661039639299,0.12909944487358055,0.14433756729740646,0.0,0.25000000000000006,0.41666666666666674,0.13608276348795434,0.0,0.0,0.3962029078465308,0.4592793267718459,0.0,0.0,0.45184805705753195,0.5833333333333334,0.29277002188455997,0.4666282626286914,0.20412414523193148,0.0
56,0.26424909878161656,0.08304547985373997,0.1392715036327889,0.0,0.1072112534837795,0.05360562674188975,0.13130643285972257,0.0,0.0,0.11327309435771983,0.13130643285972254,0.0,0.0,0.12456821978060995,0.214422506967559,0.1255529641148689,0.1667593364912675,0.13130643285972254,0.11197850219117086
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04229549344378136,0.0,0.08770580193070293,0.0,0.1860521018838127,0.0,0.0,0.0,0.0,0.0
58,0.03834824944236851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140028008402801,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
