de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
18,0.19867985355975656,0.15018785229652765,0.0,0.0,0.042601432284230495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26013299085723596,0.47387910220727386,0.0,0.3077935056255462,0.16222142113076252,0.0,0.05407380704358752,0.1777046633277277,0.1025978352085154,0.0,0.0,0.09782319760890368,0.0,0.06362847629757777,0.1025978352085154,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17407765595569785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.13608276348795434,0.051434449987363975,0.051434449987363975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12171612389003691,0.45226701686664544,0.0,0.0,0.10286889997472795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06537204504606135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3651483716701107,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.09622504486493763,0.14547859349066158,0.14547859349066158,0.0,0.24759378423606918,0.0,0.07453559924999299,0.0,0.26726124191242434,0.0,0.0,0.0,0.0,0.17213259316477406,0.07106690545187015,0.14907119849998599,0.7071067811865475,0.07273929674533079,0.23570226039551584,0.08606629658238703,0.0,0.0,0.1178511301977579,0.07106690545187015,0.1259881576697424,0.09245003270420486,0.14907119849998599,0.09245003270420486,0.0,0.0,0.1178511301977579,0.0,0.0
23,0.4364357804719848,0.20619652471058064,0.12371791482634838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629940788348712,0.0,0.14638501094227996,0.20145574100634506,0.08451542547285164,0.06681531047810609,0.5361109642475097,0.0,0.04879500364742665,0.04225771273642582,0.0,0.0,0.08058229640253803,0.0,0.20965696734438366,0.04225771273642582,0.0,0.0,0.0,0.0,0.0,0.0
24,0.14433756729740646,0.1636634176769943,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06454972243679027,0.0,0.11180339887498948,0.08838834764831843,0.0545544725589981,0.5303300858899107,0.06454972243679027,0.0,0.0,0.0,0.10660035817780521,0.0,0.0,0.05590169943749474,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752409412815901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.044543540318737404,0.0,0.10540925533894598,0.41079191812887456,0.3651483716701107,0.0,0.0,0.0,0.0,0.04564354645876384,0.0,0.0,0.0,0.0,0.0,0.0
27,0.09622504486493763,0.07273929674533079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519763153394848,0.08606629658238703,0.0,0.14907119849998599,0.1178511301977579,0.0,0.07856742013183861,0.08606629658238703,0.0,0.0,0.5892556509887895,0.1421338109037403,0.1259881576697424,0.0,0.07453559924999299,0.18490006540840973,0.0,0.29814239699997197,0.0,0.09245003270420486,0.0
28,0.06154574548966636,0.046524210519923545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05504818825631802,0.0,0.09534625892455921,0.0753778361444409,0.046524210519923545,0.10050378152592121,0.05504818825631802,0.0,0.0,0.0753778361444409,0.5909090909090909,0.08058229640253803,0.0,0.047673129462279605,0.0,0.0,0.19069251784911842,0.0,0.05913123959890826,0.0
29,0.10206207261596574,0.07715167498104596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13363062095621217,0.0,0.0,0.15811388300841897,0.12499999999999997,0.0,0.0,0.09128709291752767,0.0,0.0,0.12499999999999997,0.1507556722888818,0.40089186286863654,0.0,0.07905694150420949,0.09805806756909201,0.0,0.15811388300841897,0.0,0.0,0.0
30,0.3888888888888889,0.3359684204526464,0.0839921051131616,0.0,0.07147416898918632,0.0,0.0,0.0,0.0,0.0,0.0,0.06415002990995841,0.07273929674533079,0.1987615979999813,0.08206099398622181,0.2581988897471611,0.20412414523193148,0.0839921051131616,0.045360921162651446,0.14907119849998599,0.08606629658238703,0.08606629658238703,0.06804138174397716,0.08206099398622181,0.0,0.42700841014689905,0.47336463120312866,0.05337605126836238,0.0,0.0,0.0,0.0,0.07856742013183861
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5163977794943222,0.0,0.0,0.0,0.0,0.0,0.23570226039551587
32,0.07216878364870323,0.0545544725589981,0.0,0.0,0.09284766908852593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.06454972243679027,0.0,0.11180339887498948,0.17677669529663687,0.0,0.05892556509887897,0.06454972243679027,0.0,0.0,0.17677669529663687,0.053300179088902604,0.0944911182523068,0.0,0.11180339887498948,0.6240377207533828,0.0,0.33541019662496846,0.17677669529663687,0.0,0.20412414523193154
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.24806946917841693,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5303300858899106,0.0,0.1889822365046136,0.0,0.0,0.2773500981126146,0.22360679774997896,0.4472135954999579,0.0,0.0,0.0
35,0.0,0.0,0.1091089451179962,0.0,0.18569533817705186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.0,0.1889822365046136,0.0,0.0,0.1386750490563073,0.0,0.22360679774997896,0.0,0.0,0.0
36,0.07216878364870323,0.0545544725589981,0.0,0.0,0.0,0.0,0.05590169943749474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11180339887498948,0.08838834764831843,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.053300179088902604,0.0,0.0,0.05590169943749474,0.2773500981126146,0.11180339887498948,0.22360679774997896,0.35355339059327373,0.06933752452815364,0.3061862178478973
37,0.0,0.0,0.0,0.0,0.0,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36980013081681945,0.0,0.29814239699997197,0.35355339059327373,0.09245003270420486,0.4082482904638631
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0753778361444409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294174202707276,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.0,0.19611613513818402,0.0,0.15811388300841897,0.12499999999999997,0.0,0.14433756729740646
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.15811388300841897,0.19611613513818402,0.0,0.15811388300841897,0.12499999999999997,0.09805806756909201,0.2886751345948129
41,0.16666666666666669,0.12598815766974242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700140042014005,0.0,0.0,0.0,0.0,0.2581988897471611,0.30618621784789724,0.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.12309149097933272,0.0,0.0,0.12909944487358055,0.16012815380508716,0.0,0.12909944487358055,0.10206207261596574,0.16012815380508716,0.11785113019775793
