fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
16,0.0,0.023775851718273715,0.061898446059017294,0.0,0.07018624063435965,0.07580980435789035,0.07580980435789035,0.0,0.10300524052492097,0.13130643285972254,0.0,0.07018624063435965,0.612763353345372,0.5306686305052324,0.09284766908852593,0.09284766908852594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.2333333333333333,0.20995272258175177,0.14907119849998599,0.10846522890932807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03513641844631533,0.06085806194501846,0.14907119849998599,0.17391639824998364,0.16537964611894462,0.1333333333333333,0.0,0.0,0.08606629658238704,0.0,0.1539600717839002
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.19364916731037085,0.14784425419091463,0.09622504486493763,0.0700140042014005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756729740643,0.08006407690254358,0.3872983346207417,0.30618621784789724,0.0,0.08333333333333334,0.0,0.29814239699997197
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.12909944487358055,0.0,0.0
21,0.14907119849998599,0.08535791995526401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09245003270420486,0.29814239699997197,0.0,0.0,0.09622504486493763,0.0,0.2581988897471611
22,0.05590169943749474,0.09602765994967202,0.0,0.12126781251816648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06933752452815364,0.11180339887498948,0.0,0.0,0.0,0.0,0.06454972243679027
23,0.22360679774997896,0.08535791995526401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.09245003270420486,0.14907119849998599,0.0,0.0,0.09622504486493763,0.0,0.17213259316477406
24,0.18257418583505536,0.1045416746978634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.11322770341445959,0.18257418583505536,0.0,0.0,0.11785113019775793,0.0,0.21081851067789195
25,0.0,0.05725983343138684,0.0,0.10846522890932808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.15811388300841897,0.09053574604251856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.09805806756909201,0.15811388300841897,0.0,0.0,0.10206207261596574,0.0,0.27386127875258304
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.12403473458920847,0.07102208242284352,0.09245003270420486,0.06726727939963126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16012815380508716,0.0,0.0
29,0.0,0.08535791995526401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849001794597505,0.0,0.0
30,0.09128709291752768,0.0522708373489317,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
