de.fr,1,2,3,4,5,6,7,8,9,10,11,12
39,0.15624999999999997,0.10206207261596574,0.19325517063098147,0.0,0.041666666666666664,0.16666666666666666,0.0,0.10400628679223047,0.0753778361444409,0.0,0.06454972243679027,0.0
40,0.0,0.0,0.03787770095392851,0.0,0.1143323900950059,0.0,0.0,0.0,0.0,0.0,0.04428074427700476,0.0
41,0.0,0.0,0.039043440472151525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04564354645876384,0.17677669529663687
42,0.0742610657232506,0.08084520834544437,0.08747480336813913,0.05716619504750297,0.0,0.06600983619844498,0.0,0.0823852554571635,0.08956221510397987,0.0,0.0,0.049507377148833735
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.09805806756909201,0.08006407690254358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08770580193070293,0.0,0.0
46,0.08838834764831843,0.14433756729740646,0.07808688094430305,0.0,0.0,0.11785113019775793,0.0,0.09805806756909202,0.10660035817780521,0.0,0.0,0.0
47,0.05590169943749474,0.0,0.0,0.0,0.07453559924999299,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0
48,0.042874646285627205,0.0700140042014005,0.07575540190785703,0.0,0.0,0.05716619504750295,0.0,0.04756514941544941,0.10341753799900383,0.0,0.0,0.08574929257125441
49,0.0,0.05773502691896258,0.03123475237772122,0.08164965809277261,0.0,0.0,0.0,0.0,0.04264014327112208,0.0,0.10954451150103321,0.07071067811865475
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.236227795630767,0.15430334996209194,0.29217435489538884,0.0,0.0,0.25197631533948484,0.0,0.2620712091804796,0.11396057645963795,0.0,0.09759000729485333,0.0
58,0.03175003175004762,0.0,0.0,0.0,0.04233337566673017,0.0,0.05986843400892496,0.03522349768381734,0.03829197905337418,0.0,0.0,0.0
59,0.21650635094610968,0.23570226039551587,0.17533359609241808,0.0,0.04811252243246882,0.2165063509461097,0.06804138174397717,0.26020824993326663,0.19583736295016008,0.0,0.018633899812498248,0.0
60,0.21320071635561041,0.08703882797784893,0.047088160934801115,0.0,0.07106690545187015,0.07106690545187015,0.10050378152592121,0.23652495839563303,0.12856486930664499,0.0,0.0,0.0
61,0.062499999999999986,0.10206207261596574,0.16564728911226984,0.0,0.0,0.0,0.0,0.0,0.0753778361444409,0.11180339887498948,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
