de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
11,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.14433756729740646,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16012815380508716,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505536,0.14907119849998599,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.18257418583505536,0.09622504486493764,0.0,0.0,0.10540925533894598,0.09901475429766744,0.10206207261596577,0.10206207261596577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.14433756729740646,0.0,0.0,0.15713484026367722,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.0,0.061545745489666376,0.061545745489666376,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.11785113019775793,0.09901475429766744,0.0,0.08333333333333334,0.19802950859533489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3450327796711771,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19245008972987526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.22360679774997896,0.05892556509887897,0.0,0.0,0.12909944487358055,0.0,0.1875,0.0625,0.1336306209562122,0.125,0.05590169943749474,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.0944911182523068,0.14708710135363803,0.07905694150420949,0.053300179088902604,0.0,0.06933752452815364,0.06454972243679027,0.14433756729740643,0.125,0.06454972243679027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.037688918072220454,0.07537783614444091,0.0,0.0,0.0,0.0,0.07905694150420949,0.07905694150420949,0.3227486121839514,0.14433756729740646,0.18190171877724973,0.08333333333333333,0.20412414523193154,0.12126781251816648,0.0,0.11180339887498948,0.0,0.0,0.07537783614444091,0.0,0.125,0.1,0.10606601717798216,0.08574929257125441,0.0,0.07216878364870323,0.0,0.1267731382092775,0.05076730825668097
15,0.12403473458920847,0.19611613513818407,0.09805806756909201,0.09805806756909201,0.0716114874039433,0.0,0.06933752452815364,0.06933752452815364,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.08362420100070908,0.0,0.07412493166611013,0.0,0.10482848367219183,0.0,0.0,0.0,0.0,0.0,0.0,0.05337605126836238,0.1386750490563073,0.0716114874039433,0.08362420100070908,0.06726727939963126,0.0,0.0,0.0,0.0,0.08362420100070908,0.0,0.0,0.0,0.0,0.0,0.0,0.04181210050035454,0.04181210050035454,0.0,0.08362420100070908,0.0,0.0,0.0,0.0,0.0716114874039433,0.08006407690254358,0.06726727939963126,0.0,0.11322770341445959,0.13453455879926252,0.08362420100070908,0.0,0.0,0.05547001962252291,0.0,0.0,0.0,0.05547001962252291,0.0,0.0,0.12403473458920847,0.08006407690254358,0.0,0.09376144618769908,0.0
16,0.14301938838683884,0.050251890762960605,0.0,0.0753778361444409,0.05504818825631802,0.051708768999501914,0.053300179088902604,0.053300179088902604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12309149097933272,0.10660035817780521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040291148201269014,0.0,0.0,0.0,0.0,0.0,0.0,0.032141217326661246,0.0,0.12856486930664499,0.12309149097933272,0.09090909090909091,0.0,0.0674199862463242,0.11009637651263604,0.24618298195866545,0.3619613829965134,0.07106690545187015,0.04351941398892446,0.10341753799900383,0.06428243465332249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030151134457776365,0.036563621206356534,0.0,0.12309149097933272,0.0,0.10811249552346708,0.02164725297554096
17,0.21213203435596423,0.07453559924999299,0.0,0.11180339887498948,0.24494897427831777,0.0,0.07905694150420949,0.23717082451262844,0.0,0.0,0.07071067811865474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08770580193070293,0.0,0.06085806194501844,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04767312946227962,0.04767312946227962,0.0,0.09534625892455924,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.07669649888473704,0.10540925533894598,0.06454972243679029,0.07669649888473704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06324555320336758,0.0447213595499958,0.0,0.0,0.0,0.0,0.16035674514745463,0.03210806495339679
18,0.09128709291752768,0.04811252243246882,0.0,0.14433756729740646,0.05270462766947299,0.0,0.051031036307982884,0.051031036307982884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06454972243679029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056613851707229795,0.05270462766947299,0.039283710065919304,0.10206207261596577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030772872744833188,0.0,0.12309149097933275,0.0,0.0,0.0,0.0,0.05270462766947299,0.1767766952966369,0.19802950859533489,0.0,0.04166666666666667,0.09901475429766744,0.061545745489666376,0.0,0.0,0.0,0.0,0.07216878364870323,0.051031036307982884,0.0,0.0,0.0,0.0,0.0,0.0,0.10350983390135314,0.0
19,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16903085094570328,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.11547005383792514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.09534625892455921,0.0,0.0,0.11547005383792514,0.12909944487358055,0.4338609156373123,0.0,0.0,0.10846522890932808,0.0,0.0,0.0,0.0,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0
20,0.23094010767585027,0.06085806194501846,0.0,0.0,0.06666666666666665,0.0,0.19364916731037085,0.06454972243679027,0.06900655593423542,0.19364916731037085,0.05773502691896257,0.0,0.0,0.0,0.1632993161855452,0.0,0.1632993161855452,0.20701966780270628,0.0,0.1951800145897066,0.20254787341673333,0.0,0.22019275302527208,0.0,0.0716114874039433,0.0,0.1987615979999813,0.2581988897471611,0.1333333333333333,0.0778498944161523,0.0,0.0,0.0,0.0,0.0,0.0778498944161523,0.04879500364742665,0.0,0.0,0.25048971643405976,0.0,0.0,0.1556997888323046,0.19462473604038075,0.0,0.0,0.14907119849998599,0.0,0.1632993161855452,0.24494897427831777,0.19999999999999998,0.29814239699997197,0.3131121455425747,0.17213259316477406,0.26352313834736496,0.18786728732554484,0.0,0.0,0.0,0.10327955589886445,0.1556997888323046,0.0,0.12909944487358055,0.15491933384829668,0.14605934866804432,0.2214037213850238,0.0,0.223606797749979,0.1632993161855452,0.17457431218879388,0.0
