it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.03125,0.06896551724137931,0.058823529411764705,0.05263157894736842,0.038461538461538464,0.0,0.0,0.06451612903225806,0.0,0.0,0.0
17,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.023255813953488372,0.05,0.05263157894736842,0.07142857142857142,0.0425531914893617,0.02857142857142857,0.0,0.0,0.024390243902439025,0.029411764705882353,0.0,0.0
18,0.041666666666666664,0.03225806451612903,0.0625,0.0,0.0,0.0,0.0,0.037037037037037035,0.04,0.03333333333333333,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
19,0.18181818181818182,0.06451612903225806,0.09375,0.058823529411764705,0.047619047619047616,0.07142857142857142,0.0,0.0,0.08,0.0,0.058823529411764705,0.0,0.07142857142857142,0.15789473684210525,0.0,0.0,0.1111111111111111,0.1875
20,0.08823529411764706,0.1,0.09523809523809523,0.03571428571428571,0.03125,0.04,0.024390243902439025,0.0,0.08571428571428572,0.0,0.044444444444444446,0.0,0.04,0.03125,0.0,0.0,0.05128205128205128,0.07142857142857142
21,0.06666666666666667,0.0,0.05128205128205128,0.0,0.0,0.0,0.05714285714285714,0.06060606060606061,0.06451612903225806,0.05555555555555555,0.10526315789473684,0.0,0.0,0.07692307692307693,0.029411764705882353,0.037037037037037035,0.09090909090909091,0.08695652173913043
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.034482758620689655,0.045454545454545456,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.09375,0.06451612903225806,0.06896551724137931,0.058823529411764705,0.02564102564102564,0.0,0.0,0.0,0.0,0.04,0.0,0.0
26,0.0,0.023255813953488372,0.0,0.0,0.03125,0.0,0.024390243902439025,0.02564102564102564,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.034482758620689655
