de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14
23,0.3131121455425747,0.0,0.10127393670836667,0.10540925533894598,0.12171612389003691,0.0,0.0,0.0,0.0,0.0,0.12565617248750865,0.04188539082916955,0.04303314829119352,0.04428074427700476
24,0.17149858514250882,0.0,0.0,0.14433756729740646,0.08333333333333333,0.059339082909692704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.12964074471043285,0.0,0.0,0.1091089451179962,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166984970282112
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0629940788348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.24253562503633297,0.0,0.0,0.20412414523193148,0.05892556509887895,0.0,0.0,0.0,0.0,0.0,0.16222142113076252,0.0,0.08333333333333333,0.0
29,0.17149858514250882,0.0,0.2773500981126146,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12126781251816648
30,0.4338609156373123,0.0,0.1315587028960544,0.2738612787525831,0.21081851067789195,0.01876466562602005,0.0,0.0,0.0,0.0,0.14509525002200233,0.03627381250550058,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.04508348173337163,0.0,0.0,0.0,0.0,0.0,0.047088160934801115,0.0,0.035828718195000935,0.0,0.0
33,0.18190171877724973,0.0,0.0,0.10206207261596574,0.05892556509887895,0.0,0.0,0.0,0.0753778361444409,0.10660035817780521,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.08084520834544433,0.07856742013183861,0.06537204504606135,0.06804138174397717,0.039283710065919304,0.0,0.0,0.0,0.0,0.07106690545187015,0.05407380704358752,0.0,0.0,0.0
36,0.10341753799900383,0.0,0.16724840200141816,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.12964074471043285,0.0,0.0,0.1091089451179962,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.05564148840746571,0.0,0.0,0.0468292905790847,0.054073807043587524,0.0,0.0,0.0,0.0,0.0,0.0,0.03721614637823934,0.038235955645093626,0.0
40,0.14852213144650114,0.0,0.0,0.08333333333333334,0.09622504486493763,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.19802950859533489,0.0,0.0,0.16666666666666669,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.13245323570650439,0.0,0.0,0.0
43,0.09166984970282112,0.0,0.14824986333222026,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.225140756973417,0.0,0.24273401821882054,0.04210759605332596,0.17017582341421036,0.017310989648230378,0.0,0.0,0.0,0.04397994971335426,0.06692744814102547,0.033463724070512735,0.03438070820862646,0.03537745688386126
46,0.15339299776947407,0.0,0.24806946917841693,0.0,0.22360679774997896,0.0,0.0,0.0,0.09534625892455921,0.0,0.0,0.1025978352085154,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.06482037235521643,0.0,0.0,0.0,0.0629940788348712,0.044856130401625685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.17149858514250882,0.0,0.0,0.19245008972987526,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.07647191129018724,0.03823595564509362,0.0,0.0
51,0.0,0.04862166383263152,0.0,0.0,0.04862166383263152,0.017310989648230374,0.0,0.0,0.0,0.0,0.03346372407051273,0.10039117221153819,0.1375228328345058,0.10613237065158375
52,0.12126781251816648,0.2357022603955158,0.0,0.10206207261596574,0.05892556509887895,0.0,0.0,0.0,0.0,0.0,0.08111071056538126,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.07845986714489123,0.0,0.04229549344378136,0.0440225453162812,0.07624928516630233,0.018098250617152065,0.0,0.1617491598051576,0.0,0.0,0.0,0.06997114285413195,0.1437770309379179,0.036986336072765455
