de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
16,0.0,0.0,0.0,0.0,0.10690449676496974,0.1781741612749496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07412493166611013,0.5714285714285714,0.0,0.0,0.0944911182523068,0.17496355305594133
17,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1336306209562122,0.4082482904638631,0.0,0.17677669529663687,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999999,0.0,0.0
19,0.0,0.16666666666666669,0.0,0.16666666666666669,0.0,0.13608276348795434,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43301270189221935,0.08908708063747481
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0
21,0.0,0.0,0.14567140814584595,0.0,0.11141720290623112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05150262026246048,0.09925833339709303,0.0,0.0,0.06565321642986127,0.44574249416020933
22,0.0,0.0,0.05063696835418333,0.10540925533894598,0.15491933384829668,0.0,0.0,0.06454972243679027,0.0,0.0,0.0,0.0,0.0,0.0,0.21483446221182986,0.13801311186847084,0.0,0.0,0.18257418583505533,0.1690308509457033
23,0.0,0.0,0.052414241836095915,0.0,0.16035674514745463,0.0,0.0,0.0,0.061313933948496574,0.0,0.0,0.0,0.0,0.30304576336566325,0.07412493166611013,0.07142857142857142,0.0,0.0,0.0,0.11664236870396087
24,0.0,0.0,0.04902903378454601,0.0,0.05,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06933752452815364,0.2004459314343183,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.33806170189140655,0.07715167498104596,0.1853123291652753,0.1543033499620919,0.03779644730092272,0.0,0.20965696734438366,0.0,0.0,0.1543033499620919,0.0,0.1091089451179962,0.0,0.0,0.052414241836095915,0.050507627227610534,0.0,0.0,0.13363062095621217,0.12371791482634838
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.31622776601683794,0.0,0.2773500981126146,0.0,0.0,0.0,0.19611613513818402,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.2886751345948129,0.04622501635210243,0.0,0.0,0.0,0.06537204504606135,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07453559924999299,0.0,0.10286889997472795
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
