de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
39,0.0,0.0,0.10540925533894598,0.0,0.0,0.08451542547285165,0.0,0.0,0.0,0.09128709291752768,0.0,0.15811388300841897,0.0,0.14907119849998599,0.0,0.14509525002200233,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.15075567228888181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700140042014005,0.0,0.12126781251816648,0.0,0.05716619504750295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.3042903097250923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.14433756729740646,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.14907119849998599,0.0,0.10540925533894598,0.0,0.0,0.08451542547285165,0.0,0.0,0.0,0.0,0.0,0.0,0.11180339887498948,0.223606797749979,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12598815766974242,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0
