de.it,1,2,3,4,5,6,7,8,9,10,11,12
47,0.0,0.0,0.0,0.0,0.0,0.033709993123162106,0.0674199862463242,0.0,0.0,0.0,0.0,0.024999999999999994
48,0.12862393885688161,0.07312724241271307,0.058823529411764705,0.0,0.0,0.05170876899950193,0.051708768999501914,0.0,0.0,0.0,0.0,0.11504474832710557
49,0.035355339059327376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158113883008419
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,0.0,0.0,0.05590169943749474
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0472455591261534,0.0,0.0,0.0,0.0,0.0,0.05698028822981897,0.0,0.0,0.0,0.0,0.021128856368212916
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,0.0,0.0,0.0
57,0.2834733547569204,0.16116459280507606,0.25928148942086576,0.0,0.0,0.3133915852640044,0.0,0.23904572186687872,0.0,0.07412493166611013,0.09925833339709303,0.40144827099604535
58,0.0,0.0,0.0,0.0,0.0,0.0,0.03829197905337418,0.0,0.0,0.0,0.0,0.01419904585617662
59,0.18042195912175807,0.3077287274483319,0.22278319716975173,0.0,0.0,0.2284769234418534,0.04351941398892446,0.04564354645876384,0.0,0.0,0.018952451089472588,0.27433632035635874
60,0.053300179088902604,0.18181818181818182,0.07312724241271307,0.0,0.0,0.0642824346533225,0.12856486930664499,0.0,0.0,0.08362420100070908,0.0,0.14301938838683884
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.09805806756909201,0.0,0.05590169943749474
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
