it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
11,0.0,0.0,0.06666666666666665,0.3464101615137754,0.24999999999999994,0.12510864843424485,0.07071067811865474,0.06666666666666665,0.0,0.0,0.1568929081105472,0.2773500981126145,0.041702882811414946,0.11547005383792514,0.3023715784073817,0.11547005383792514,0.11547005383792514,0.0,0.0,0.0,0.0,0.3265986323710904,0.3265986323710904,0.3130495168499705,0.26726124191242434,0.0,0.0,0.0,0.0,0.0,0.0,0.07559289460184543,0.0,0.5773502691896257,0.0,0.3098386676965933
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1432229748078866,0.05383819020581655,0.14907119849998599,0.0,0.0,0.14907119849998599,0.14907119849998599,0.0,0.0,0.0,0.10540925533894598,0.10540925533894598,0.05773502691896257,0.0,0.0,0.09128709291752767,0.0,0.0,0.0,0.0975900072948533,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.05555555555555555,0.0,0.20833333333333334,0.034752402342845795,0.0,0.0,0.048112522432468816,0.0,0.0,0.0,0.10425720702853739,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06804138174397717,0.037267799624996496,0.0445435403187374,0.0,0.0,0.0,0.2151657414559676,0.0,0.0,0.1259881576697424,0.05555555555555555,0.0,0.0,0.12909944487358055
14,0.0,0.10540925533894596,0.14907119849998599,0.12909944487358058,0.18633899812498247,0.12433397443204185,0.05270462766947298,0.0,0.04303314829119352,0.0,0.08770580193070293,0.12403473458920847,0.03108349360801046,0.04303314829119352,0.1126872339638022,0.0,0.17213259316477408,0.0,0.0,0.0,0.0,0.12171612389003691,0.12171612389003691,0.3,0.4780914437337574,0.0,0.10540925533894596,0.0,0.0,0.0,0.0,0.2253744679276044,0.049690399499995326,0.17213259316477408,0.0,0.19245008972987526
15,0.0,0.0,0.22866478019001174,0.14852213144650114,0.30012252399939043,0.03575992699260758,0.06063390625908324,0.0,0.0,0.0,0.10090091909944687,0.09513029883089881,0.0,0.0,0.1944611170656493,0.0,0.0,0.0,0.0,0.0,0.0700140042014005,0.140028008402801,0.0,0.15339299776947407,0.09166984970282112,0.0,0.06063390625908324,0.0,0.2656844656620286,0.0,0.0,0.12964074471043285,0.11433239009500587,0.2475368857441686,0.0,0.35424595421603805
16,0.0,0.0,0.0,0.3441236008058426,0.2317931624863826,0.02761840883330537,0.14048787173725405,0.0,0.03823595564509362,0.0,0.1558573000398393,0.22041550751119346,0.02761840883330537,0.0,0.400500939457407,0.0,0.0,0.0,0.09365858115816937,0.09365858115816937,0.0,0.32444284226152503,0.0,0.17770466332772766,0.21239769762143654,0.0,0.18731716231633874,0.0,0.06839855680567691,0.0,0.15018785229652762,0.0,0.0,0.5353033790313106,0.0,0.20519567041703074
17,0.0,0.0,0.04667600280093366,0.16169041669088866,0.1750350105035012,0.058395716247378375,0.0,0.0,0.0,0.0,0.10984700727621795,0.2330206912141852,0.14598929061844595,0.08084520834544433,0.21170244960998524,0.0,0.16169041669088866,0.0,0.0,0.0,0.0,0.2286647801900118,0.0,0.18786728732554484,0.14969623771302396,0.0,0.0,0.0,0.07231015260621872,0.0,0.0,0.0,0.04667600280093366,0.242535625036333,0.0,0.14462030521243743
18,0.0,0.8164965809277259,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16012815380508716,0.0,0.16666666666666669,0.2182178902359924,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.40824829046386296,0.40824829046386296,0.0,0.23570226039551587,0.0,0.12909944487358055,0.0,0.5773502691896258,0.0,0.5773502691896258,0.0,0.5773502691896258,0.0,0.2182178902359924,0.0,0.0,0.0,0.14907119849998599
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.10425720702853739,0.14433756729740646,0.1889822365046136,0.0,0.5773502691896258,0.5773502691896258,0.35355339059327373,0.35355339059327373,0.0,0.20412414523193154,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.1889822365046136,0.0,0.0,0.0,0.12909944487358055
21,0.0,0.0,0.16666666666666666,0.14433756729740646,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.0,0.12909944487358055,0.0,0.0,0.0,0.16666666666666666,0.14433756729740646,0.0,0.12909944487358055
