de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
17,0.11322770341445959,0.0,0.10206207261596577,0.0,0.0,0.0936585811581694,0.0,0.0,0.0,0.0,0.0,0.08512565307587487,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0936585811581694,0.09901475429766744,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.1307440900921227,0.0,0.0,0.1091089451179962,0.0,0.0
18,0.2773500981126146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.0,0.20412414523193154,0.0,0.1386750490563073,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.0,0.4714045207910316,0.0,0.0,0.07647191129018724,0.0,0.14907119849998599,0.1111111111111111,0.0,0.0,0.06804138174397717,0.0,0.0,0.0,0.0,0.053376051268362375,0.0,0.0,0.0890870806374748,0.0,0.0
20,0.11566298639324807,0.31524416249564025,0.05212860351426869,0.0,0.0,0.0,0.0,0.06286946134619316,0.0,0.0,0.0,0.04347826086956522,0.0,0.0,0.0,0.06019292654288461,0.0,0.09325048082403138,0.06286946134619316,0.047836487323493986,0.05057217374241737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08512565307587487,0.0,0.033389028164708894,0.0,0.0,0.05572782125753529,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04003203845127178,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11470786693528087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.06537204504606135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06537204504606135,0.0,0.0,0.0,0.07106690545187015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774256780481986,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09284766908852593,0.0,0.0,0.0
