Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Supermarine S.5,de.fr,0.15625,13,20,15.384615384615385,10.0,yes,no,no,no
Supermarine S.5,de.en,0.2,13,21,15.384615384615385,9.523809523809524,yes,no,no,no
Supermarine S.5,it.fr,0.21428571428571427,15,20,13.333333333333334,10.0,yes,no,no,no
Supermarine S.5,it.en,0.18421052631578946,15,21,26.666666666666668,19.047619047619047,yes,no,no,no
Supermarine S.5,fr.en,1.0,20,21,100.0,90.47619047619048,yes,yes,yes,yes
Macchi M.33,de.it,0.25,7,4,42.857142857142854,75.0,yes,yes,no,no
Macchi M.33,de.fr,0.19047619047619047,7,8,71.42857142857143,62.5,yes,yes,no,no
Macchi M.33,it.fr,0.0,4,8,0.0,0.0,no,no,no,no
Curtiss R3C,de.it,0.0,12,4,0.0,0.0,no,no,no,no
Curtiss R3C,de.fr,0.4,12,11,33.33333333333333,36.36363636363637,yes,no,no,no
Curtiss R3C,de.en,0.5,12,11,58.333333333333336,63.63636363636363,yes,yes,yes,yes
Curtiss R3C,it.fr,0.0,4,11,0.0,0.0,no,no,no,no
Curtiss R3C,it.en,0.0,4,11,0.0,0.0,no,no,no,no
Curtiss R3C,fr.en,0.8571428571428571,11,11,100.0,100.0,yes,yes,yes,yes
Piaggio P.7,de.it,0.0,7,44,0.0,0.0,no,no,no,no
Piaggio P.7,de.fr,0.17647058823529413,7,20,28.57142857142857,10.0,yes,no,no,no
Piaggio P.7,de.en,0.0,7,18,0.0,0.0,no,no,no,no
Piaggio P.7,it.fr,0.0,44,20,0.0,0.0,no,no,no,no
Piaggio P.7,it.en,0.10526315789473684,44,18,4.545454545454546,11.11111111111111,yes,no,no,no
Piaggio P.7,fr.en,0.75,20,18,65.0,72.22222222222221,yes,yes,yes,no
Macchi M.39,de.it,0.20588235294117646,4,23,50.0,8.695652173913043,yes,no,no,no
Macchi M.39,de.fr,0.0,4,36,0.0,0.0,no,no,no,no
Macchi M.39,de.en,0.0,4,18,0.0,0.0,no,no,no,no
Macchi M.39,it.fr,0.0,23,36,0.0,0.0,no,no,no,no
Macchi M.39,it.en,0.0,23,18,0.0,0.0,no,no,no,no
Macchi M.39,fr.en,0.6666666666666666,36,18,41.66666666666667,83.33333333333334,yes,yes,yes,yes
