Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Piaggio P.7,de.it,0.0,7,44,0.0,0.0,no,no,no,no
Piaggio P.7,de.fr,0.0,7,20,0.0,0.0,no,no,no,no
Piaggio P.7,de.en,0.0,7,18,0.0,0.0,no,no,no,no
Piaggio P.7,it.fr,0.4629100498862757,44,20,4.545454545454546,10.0,yes,no,no,no
Piaggio P.7,it.en,0.4629100498862757,44,18,4.545454545454546,11.11111111111111,yes,no,no,no
Piaggio P.7,fr.en,0.857142857142857,20,18,55.00000000000001,61.111111111111114,yes,yes,yes,no
Macchi M.39,de.it,0.4999999999999999,4,23,50.0,8.695652173913043,yes,no,no,no
Macchi M.39,de.fr,0.0,4,36,0.0,0.0,no,no,no,no
Macchi M.39,de.en,0.0,4,18,0.0,0.0,no,no,no,no
Macchi M.39,it.fr,0.0,23,36,0.0,0.0,no,no,no,no
Macchi M.39,it.en,0.0,23,18,0.0,0.0,no,no,no,no
Macchi M.39,fr.en,0.8340576562282991,36,18,41.66666666666667,83.33333333333334,yes,yes,yes,yes
