de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
11,0.10101525445522107,0.23145502494313785,0.11396057645963795,0.0445435403187374,0.1259881576697424,0.23055616708169405,0.6052275326688024,0.21428571428571425,0.1336306209562122,0.20203050891044214,0.0944911182523068,0.05976143046671968,0.07881104062391006,0.1259881576697424,0.1889822365046136,0.23904572186687872,0.2279211529192759,0.04879500364742665,0.15152288168283162,0.20619652471058064,0.1091089451179962,0.06681531047810609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545544725589981,0.05976143046671968,0.0,0.07881104062391006,0.0,0.06681531047810609,0.1636634176769943,0.04879500364742665,0.13006649542861798,0.0545544725589981,0.12677313820927746,0.0,0.0
12,0.1336306209562122,0.10206207261596577,0.15075567228888181,0.23570226039551587,0.0,0.22874785549890708,0.32025630761017426,0.1889822365046136,0.3535533905932738,0.1336306209562122,0.0,0.4743416490252569,0.20851441405707477,0.16666666666666666,0.25,0.0,0.45226701686664544,0.12909944487358055,0.4008918628686366,0.1091089451179962,0.2886751345948129,0.0,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.10425720702853739,0.0,0.35355339059327373,0.14433756729740646,0.2581988897471611,0.0,0.0,0.33541019662496846,0.1336306209562122,0.0
13,0.0944911182523068,0.21650635094610968,0.10660035817780521,0.08333333333333333,0.0,0.26958193300859606,0.22645540682891913,0.40089186286863654,0.0,0.3779644730092272,0.0,0.11180339887498948,0.14744195615489714,0.1178511301977579,0.17677669529663687,0.0,0.31980107453341566,0.18257418583505533,0.0,0.23145502494313785,0.20412414523193148,0.0,0.10660035817780521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.11180339887498948,0.0,0.14744195615489714,0.0,0.12499999999999997,0.30618621784789724,0.18257418583505533,0.16222142113076252,0.0,0.23717082451262844,0.0944911182523068,0.0
14,0.1091089451179962,0.08333333333333334,0.0,0.0,0.13608276348795434,0.06225728063646906,0.06537204504606135,0.0,0.3849001794597506,0.0,0.20412414523193154,0.0,0.0,0.13608276348795434,0.20412414523193154,0.12909944487358058,0.12309149097933275,0.0,0.1091089451179962,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.12909944487358058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.09128709291752768,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47140452079103173,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841897,0.15075567228888181,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.2672612419124244,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.17677669529663687,0.0,0.0,0.0,0.14433756729740646,0.0,0.1336306209562122,0.0
17,0.22237479499833038,0.16984155512168939,0.08362420100070908,0.2614881801842454,0.0,0.2960684541064696,0.22205779584216379,0.4193139346887673,0.1307440900921227,0.7412493166611013,0.0,0.17541160386140586,0.23132597278649614,0.09245003270420486,0.1386750490563073,0.08770580193070293,0.3344968040028363,0.0716114874039433,0.07412493166611013,0.18156825980064073,0.16012815380508716,0.0,0.0,0.07412493166611013,0.07412493166611013,0.1386750490563073,0.0,0.1386750490563073,0.20965696734438366,0.08770580193070293,0.12403473458920847,0.08006407690254358,0.08770580193070293,0.06726727939963126,0.1734944795898721,0.08362420100070908,0.09805806756909201,0.3202563076101743,0.1432229748078866,0.19088542889273333,0.08006407690254358,0.1860521018838127,0.07412493166611013,0.0
18,0.11952286093343936,0.09128709291752768,0.13483997249264842,0.21081851067789195,0.0,0.27279773578818944,0.14322297480788657,0.33806170189140655,0.10540925533894598,0.23904572186687872,0.0,0.42426406871192845,0.27975144247209416,0.14907119849998599,0.22360679774997896,0.0,0.26967994498529685,0.11547005383792514,0.11952286093343936,0.09759000729485333,0.2581988897471611,0.0,0.13483997249264842,0.0,0.0,0.11180339887498948,0.0,0.0,0.33806170189140655,0.14142135623730948,0.0,0.0,0.0,0.0,0.09325048082403138,0.0,0.15811388300841897,0.12909944487358055,0.23094010767585027,0.1025978352085154,0.0,0.29999999999999993,0.11952286093343936,0.0
19,0.2279211529192759,0.08703882797784893,0.12856486930664499,0.20100756305184242,0.0,0.3901536532574132,0.13655774839978377,0.24174688920761409,0.0,0.2279211529192759,0.0,0.2022599587389726,0.755742181606458,0.1421338109037403,0.21320071635561041,0.0674199862463242,0.12856486930664499,0.11009637651263604,0.0,0.09304842103984709,0.24618298195866545,0.0,0.12856486930664499,0.0,0.05698028822981897,0.15990053726670783,0.0,0.10660035817780521,0.16116459280507606,0.1348399724926484,0.09534625892455921,0.06154574548966636,0.0674199862463242,0.051708768999501914,0.17782168978975482,0.06428243465332249,0.1507556722888818,0.1846372364689991,0.16514456476895406,0.04891159880445184,0.06154574548966636,0.19069251784911842,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.06537204504606135,0.0,0.0,0.0,0.0,0.0,0.0,0.4082482904638631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
