de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14
43,0.05405405405405406,0.0,0.08,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.11904761904761904,0.0,0.06060606060606061,0.030303030303030304,0.057692307692307696,0.013888888888888888,0.0,0.0,0.0,0.03125,0.05555555555555555,0.025,0.02564102564102564,0.02631578947368421
46,0.07142857142857142,0.0,0.125,0.0,0.08571428571428572,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.043478260869565216,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.03225806451612903,0.0,0.0,0.0,0.02564102564102564,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.06818181818181818,0.0,0.0,0.0967741935483871,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.025,0.0,0.0
51,0.0,0.04,0.0,0.0,0.041666666666666664,0.014925373134328358,0.0,0.0,0.0,0.0,0.03125,0.09090909090909091,0.12903225806451613,0.0967741935483871
52,0.03125,0.13333333333333333,0.0,0.05263157894736842,0.025,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.031746031746031744,0.0,0.019230769230769232,0.0196078431372549,0.04285714285714286,0.011111111111111112,0.0,0.06666666666666667,0.0,0.0,0.0,0.03508771929824561,0.07407407407407407,0.017857142857142856
